,Date,Close,Low,High,SMA20,SMA50,Buy_Signal,Sell_Signal,Portfolio_Value
49,2023-09-05,1211.800048828125,1206.2249755859375,1216.9749755859375,1245.2624938964843,1244.0895532226561,0,0,100000.0
50,2023-09-06,1214.3499755859375,1208.625,1218.074951171875,1243.2637451171875,1245.3426342773437,0,1,100000.0
51,2023-09-07,1216.0,1205.5,1219.125,1240.9337463378906,1246.6204077148439,0,0,100000.0
52,2023-09-08,1224.0999755859375,1211.4749755859375,1228.0,1238.7274963378907,1247.7551293945312,0,0,100000.0
53,2023-09-11,1237.300048828125,1226.0,1238.425048828125,1236.913751220703,1248.9623315429687,0,0,100000.0
54,2023-09-12,1219.425048828125,1217.9749755859375,1241.5,1233.4537536621094,1249.2079296875,0,0,100000.0
55,2023-09-13,1225.5250244140625,1213.125,1231.324951171875,1230.3512573242188,1249.8242749023439,0,0,100000.0
56,2023-09-14,1226.6500244140625,1222.5,1232.9000244140625,1228.2337585449218,1250.5023486328125,0,0,100000.0
57,2023-09-15,1228.925048828125,1224.75,1234.0,1225.760009765625,1250.7251953125,0,0,100000.0
58,2023-09-18,1218.2249755859375,1216.0250244140625,1225.5,1223.6712585449218,1250.7815747070313,0,0,100000.0
59,2023-09-20,1191.074951171875,1177.5,1213.800048828125,1220.240008544922,1249.3585717773437,0,0,100000.0
60,2023-09-21,1182.4000244140625,1180.0,1195.050048828125,1216.3050109863282,1247.4884008789063,0,0,100000.0
61,2023-09-22,1177.4749755859375,1175.0,1191.2249755859375,1213.1837585449218,1245.4915771484375,0,0,100000.0
62,2023-09-25,1170.2249755859375,1167.550048828125,1180.3499755859375,1209.9862548828125,1243.5781958007813,0,0,100000.0
63,2023-09-26,1171.25,1167.800048828125,1175.0999755859375,1207.4550048828125,1241.70654296875,0,0,100000.0
64,2023-09-27,1184.449951171875,1169.25,1185.9000244140625,1206.16875,1239.5820092773438,0,0,100000.0
65,2023-09-28,1167.050048828125,1162.5,1191.5,1204.070001220703,1236.8902661132813,0,0,100000.0
66,2023-09-29,1172.5,1167.050048828125,1184.550048828125,1202.520001220703,1234.11,0,0,100000.0
67,2023-10-03,1159.074951171875,1158.0,1167.800048828125,1200.1575012207031,1231.092998046875,0,0,100000.0
68,2023-10-04,1157.074951171875,1147.550048828125,1159.5,1197.74375,1228.8469970703125,0,0,100000.0
